morphology_code,preferred_term,search_terms
8034/3,Polygonal cell carcinoma,"Polygonal cell carcinoma; Carcinoma, polygonal cell"
8035/3,Carcinoma with osteoclast-like giant cells,"Carcinoma with osteoclast-like giant cells; Giant cells, carcinoma with osteoclast-like; Osteoclast-like giant cells, carcinoma with"
8040/0,"Tumorlet, benign","Tumorlet, benign"
8040/1,"Tumorlet, NOS","Tumorlet, NOS"
8041/3,"Small cell carcinoma, NOS","Small cell carcinoma, NOS; Carcinoma, neuroendocrine, high grade (C54._, C55.9) [2018+]; Carcinoma, neuroendocrine, poorly differentiated [OF BREAST] (C50._) [2018+]; Carcinoma, reserve cell; Carcinoma, round cell; Carcinoma, small cell, neuroendocrine; Carcinoma, small cell, NOS; Carcinoma, small cell, pulmonary type (C56.9) [2018+]; High-grade neuroendocrine carcinoma (C54._, C55.9) [2018+]; Neuroendocrine carcinoma, high grade  (C54._, C55.9) [2018+]; Neuroendocrine carcinoma, poorly differentiated [OF BREAST] (C50._) [2018+]; Neuroendocrine carcinoma, small cell; Reserve cell carcinoma; Round cell carcinoma; Small cell carcinoma pulmonary type (C56.9) [2018+]; Small cell carcinoma, neuroendocrine; Small cell neuroendocrine carcinoma"
8042/3,Oat cell carcinoma (C34._),"Oat cell carcinoma (C34._); Carcinoma, oat cell (C34._)"
8043/3,"Small cell carcinoma, fusiform cell","Small cell carcinoma, fusiform cell; Carcinoma, small cell, fusiform cell; Fusiform cell, small cell carcinoma"
8044/3,"Small cell carcinoma, intermediate cell","Small cell carcinoma, intermediate cell; Carcinoma, small cell, hypercalcemic type (C56.9) [2018+]; Carcinoma, small cell, intermediate cell; Carcinoma, small cell, large cell variant (C56.9) [2022+]; Intermediate cell, small cell carcinoma; Large cell variant, small cell carcinoma (C56.9) [2022+]; Small cell carcinoma, hypercalcemic type (C56.9) [2018+]; Small cell carcinoma, large cell variant (C56.9) [2022+]; SMARCA4-deficient sinonasal carcinoma [2026+]; SMARCA4-deficient thoracic undifferentiated tumor (C34._) [2023+]; SMARCB1-deficient sinonasal adenocarcinoma [2026+]; SMARCB1-deficient sinonasal carcinoma [2026+]; Thoracic SMARCA4-deficient undifferentiated tumor (C34._) [2023+]; Undifferentiated thoracic tumor, SMARCA4-deficient (C34._) [2023+]; SMARCB1-deficient sinonasal carcinoma; SMARCB1-deficient sinonasal adenocarcinoma; SMARCA4-deficient sinonasal carcinoma"
8045/3,Combined small cell carcinoma,"Combined small cell carcinoma; Adenocarcinoma, combined small cell-adenocarcinoma; Carcinoma, combined small cell; Carcinoma, combined small cell-large cell; Carcinoma, combined small cell-squamous cell; Carcinoma, large cell-small cell, combined; Carcinoma, mixed small cell; Carcinoma, small cell-large cell, combined; Combined small cell-adenocarcinoma; Combined small cell-large cell carcinoma; Combined small cell-squamous cell carcinoma; Large cell-small cell carcinoma, combined; Mixed small cell carcinoma; Small cell carcinoma, combined; Small cell carcinoma, mixed; Small cell-adenocarcinoma, combined; Small cell-large cell carcinoma, combined; Small cell-squamous cell carcinoma, combined; Squamous cell-small cell carcinoma, combined"
8046/3,Non-small cell carcinoma (C34._),"Non-small cell carcinoma (C34._); Carcinoma, non-small cell (C34._)"
8050/0,"Papilloma, NOS (except papilloma of bladder M-8120/1)","Papilloma, NOS (except papilloma of bladder M-8120/1)"
8050/2,Papillary carcinoma in situ,"Papillary carcinoma in situ; Carcinoma in situ, papillary; Carcinoma, papillary, in situ; In situ carcinoma, papillary; In situ papillary carcinoma"
8050/3,"Papillary carcinoma, NOS","Papillary carcinoma, NOS; Carcinoma, papillary, NOS"
8051/0,Verrucous papilloma,"Verrucous papilloma; Papilloma, verrucous"
8051/3,"Warty carcinoma [2018+ CASES FOR C60._, USE 8054/3. ALL OTHER SITES USE 8051/3 FOR ALL YEARS]","Warty carcinoma [2018+ CASES FOR C60._, USE 8054/3. ALL OTHER SITES USE 8051/3 FOR ALL YEARS]; Carcinoma cuniculatum [2026+]; Carcinoma, condylomatous [2018+ CASES FOR C60._, USE 8054/3. ALL OTHER SITES USE 8051/3 FOR ALL YEARS]; Carcinoma, epidermoid, verrucous; Carcinoma, squamous cell, verrucous; Carcinoma, verrucous, epidermoid; Carcinoma, verrucous, NOS; Carcinoma, verrucous, squamous cell; Carcinoma, warty [2018+ CASES FOR C60._, USE 8054/3. ALL OTHER SITES USE 8051/3 FOR ALL YEARS]; Condylomatous carcinoma [2018+ CASES FOR C60._, USE 8054/3. ALL OTHER SITES USE 8051/3 FOR ALL YEARS]; Epidermoid carcinoma, verrucous; Squamous cell carcinoma, verrucous; Verrucous carcinoma, epidermoid; Verrucous carcinoma, NOS; Verrucous carcinoma, squamous cell; Verrucous epidermoid carcinoma; Verrucous squamous cell carcinoma; Carcinoma cuniculatum"
8052/0,"Squamous cell papilloma, NOS","Squamous cell papilloma, NOS; Keratotic papilloma; Papilloma, keratotic; Papilloma, squamous; Papilloma, squamous cell, NOS; Squamous papilloma"
8052/2,"Papillary squamous cell carcinoma, non-invasive","Papillary squamous cell carcinoma, non-invasive; Carcinoma, papillary squamous cell, in situ; Carcinoma, papillary squamous cell, non-invasive; Carcinoma, squamous cell papillary, non-invasive; In situ papillary squamous cell carcinoma; In situ squamous cell carcinoma, papillary; Non-invasive carcinoma, papillary squamous cell; Papillary carcinoma in situ, squamous cell; Papillary carcinoma, squamous cell, non-invasive; Papillary squamous cell carcinoma in situ; Squamous cell carcinoma, papillary, in situ; Squamous cell carcinoma, papillary, non-invasive"
8052/3,Papillary squamous cell carcinoma,"Papillary squamous cell carcinoma; Carcinoma, epidermoid, papillary; Carcinoma, papillary epidermoid; Carcinoma, papillary squamous cell; Carcinoma, papillary, epidermoid; Carcinoma, squamous cell, papillary; Epidermoid carcinoma, papillary; Papillary carcinoma, epidermoid; Papillary carcinoma, squamous cell; Papillary epidermoid carcinoma; Squamous cell carcinoma, papillary"
8053/0,"Squamous cell papilloma, inverted","Squamous cell papilloma, inverted; Inverted papilloma, squamous cell; Papilloma, inverted squamous cell; Papilloma, squamous cell, inverted"
8054/3,"Warty carcinoma (C60.0-C60.2, C60.9) [2018+. PRE-2018 CASES FOR C60, USE 8051/3.  ALL OTHER SITES USE 8051/3 FOR ALL YEARS]","Warty carcinoma (C60.0-C60.2, C60.9) [2018+. PRE-2018 CASES FOR C60, USE 8051/3.  ALL OTHER SITES USE 8051/3 FOR ALL YEARS]; Carcinoma, condylomatous (C60.0-C60.2, C60.9) [2018+. PRE-2018 CASES FOR C60, USE 8051/3. ALL OTHER SITES USE 8051/3 FOR ALL YEARS]; Carcinoma, warty (C60.0-C60.2, C60.9) [2018+. PRE-2018 CASES FOR C60, USE 8051/3.  ALL OTHER SITES USE 8051/3 FOR ALL YEARS]; Carcinoma, warty-basaloid [2021+]; Condylomatous carcinoma (C60.0-C60.2, C60.9) [2018+. PRE-2018 CASES FOR C60, USE 8051/3. ALL OTHER SITES USE 8051/3 FOR ALL YEARS]; Warty-basaloid carcinoma [2021+]"
8060/0,Squamous papillomatosis,"Squamous papillomatosis; Papillomatosis, NOS; Papillomatosis, squamous"
8070/0,Low-grade squamous intraepithelial lesion [2026+. REPLACES GRADE 2/II NEOPLASMS],Low-grade squamous intraepithelial lesion [2026+. REPLACES GRADE 2/II NEOPLASMS]; Low-grade squamous intraepithelial lesion
8070/2,"Squamous cell carcinoma in situ, NOS","Squamous cell carcinoma in situ, NOS; Carcinoma in situ, epidermoid, NOS; Carcinoma in situ, squamous cell, NOS; Carcinoma, epidermoid, in situ, NOS; Carcinoma, intraepidermal, NOS; Carcinoma, intraepithelial, squamous cell; Carcinoma, squamous cell, in situ, NOS; Carcinoma, squamous cell, intraepithelial; Epidermoid carcinoma in situ, NOS; In situ carcinoma, epidermoid, NOS; In situ carcinoma, squamous cell, NOS; In situ epidermoid carcinoma, NOS; In situ squamous cell carcinoma, NOS; Intraepidermal carcinoma, NOS; Intraepithelial squamous cell carcinoma; Squamous cell carcinoma, intraepithelial"
