morphology_code,preferred_term,search_terms
8180/3,Combined hepatocellular carcinoma and cholangiocarcinoma (C22.0),"Combined hepatocellular carcinoma and cholangiocarcinoma (C22.0); Bile duct carcinoma and hepatocellular carcinoma, mixed (C22.0); Carcinoma, bile duct and hepatocellular, mixed (C22.0); Carcinoma, combined hepatocellular and cholangiocarcinoma (C22.0); Carcinoma, hepatocellular and bile duct, mixed (C22.0); Carcinoma, hepatocellular and cholangiocarcinoma, combined (C22.0); Carcinoma, mixed hepatocellular and bile duct (C22.0); Cholangiocarcinoma and hepatocellular carcinoma, combined (C22.0); Hepatocellular and bile duct carcinoma, mixed (C22.0); Hepatocellular carcinoma and bile duct carcinoma, mixed (C22.0); Hepatocellular carcinoma and cholangiocarcinoma, combined (C22.0); Hepatocholangiocarcinoma (C22.0); Mixed bile duct and hepatocellular carcinoma (C22.0); Mixed hepatocellular and bile duct carcinoma (C22.0)"
8190/0,Trabecular adenoma,"Trabecular adenoma; Adenoma, trabecular"
8190/3,Trabecular adenocarcinoma,"Trabecular adenocarcinoma; Adenocarcinoma, trabecular; Carcinoma, trabecular; Trabecular carcinoma"
8191/0,Embryonal adenoma,"Embryonal adenoma; Adenoma, embryonal"
8200/0,Eccrine dermal cylindroma (C44._),"Eccrine dermal cylindroma (C44._); Cylindroma of skin (C44._); Cylindroma, eccrine dermal (C44._); Cylindroma, skin (C44._); Dermal cylindroma, eccrine (C44._); Dermal eccrine cylindroma (C44._); Tumor, turban (C44.4); Turban tumor (C44.4)"
8200/3,Adenoid cystic carcinoma,"Adenoid cystic carcinoma; Adenocarcinoma, cylindroid; Adenocystic carcinoma; Adenoid cystic carcinoma with high-grade transformation [2022+]; Adenoid cystic carcinoma, solid-basaloid [2022+]; Adenoma, bronchial, cylindroid (C34._) [obs]; Bronchial adenoma, cylindroid (C34._) [obs]; Carcinoma, adenocystic; Carcinoma, adenoid cystic; Carcinoma, adenoid cystic with high-grade transformation [2022+]; Carcinoma, adenoid cystic, solid-basaloid [2022+]; Carcinoma, solid-basaloid adenoid cystic [2022+]; Carcinoma, thymic with adenoid cystic carcinoma-like features (C37.9); Cylindroid adenocarcinoma; Cylindroid bronchial adenoma (C34._) [obs]; Cylindroma, NOS (except cylindroma of skin M-8200/0); Cystic carcinoma, adenoid; Solid-basaloid adenoid cystic carcinoma [2022+]; Thymic carcinoma with adenoid cystic carcinoma-like features (C37.9)"
8201/2,Cribriform carcinoma in situ (C50._),"Cribriform carcinoma in situ (C50._); Carcinoma, cribriform in situ (C50._); Carcinoma, ductal in situ, cribriform type (C50._); Cribriform ductal carcinoma in situ (C50._); Ductal carcinoma in situ, cribriform type (C50._); Ductal carcinoma, cribriform type, in situ (C50._); In situ cribriform carcinoma (C50._); In situ ductal carcinoma, cribriform type (C50._)"
8201/3,"Cribriform carcinoma, NOS","Cribriform carcinoma, NOS; Adenocarcinoma, cribriform comedo-type (C18._, C19.9, C20.9); Carcinoma, cribriform, NOS; Carcinoma, ductal, cribriform type (C50._); Cribriform comedo-type carcinoma (C18._, C19.9, C20.9); Cribriform ductal carcinoma (C50._); Ductal carcinoma, cribriform type (C50._)"
8202/0,Microcystic adenoma (C25._),"Microcystic adenoma (C25._); Adenoma, microcystic, NOS (C25._)"
8204/0,Lactating adenoma (C50._),Lactating adenoma (C50._); Adenoma. lactating (C50._)
8210/0,"Adenomatous polyp, NOS","Adenomatous polyp, NOS; Adenoma, polypoid, NOS; Polyp, adenomatous, NOS; Polypoid adenoma"
8210/2,Adenocarcinoma in situ in adenomatous polyp,"Adenocarcinoma in situ in adenomatous polyp; Adenocarcinoma in situ in a polyp, NOS; Adenocarcinoma in situ in polypoid adenoma; Adenocarcinoma in situ in tubular adenoma; Adenoma, polypoid, adenocarcinoma in situ in; Adenoma, tubular, adenocarcinoma in situ in; Adenomatous polyp, adenocarcinoma in situ in; Adenomatous polyp, carcinoma in situ in; Adenomatous polyp, high grade dysplasia (C16._, C17._) [REPORTABLE 2022+ FOR STOMACH AND SMALL INTESTINE ONLY; SEE STANDARD SETTER REQUIREMENTS FOR REPORTABILITY.]; Carcinoma in situ in a polyp, NOS; Carcinoma in situ in adenomatous polyp; High grade dysplasia in adenomatous polyp (C16._, C17._) [REPORTABLE 2022+ FOR STOMACH AND SMALL INTESTINE ONLY; SEE STANDARD SETTER REQUIREMENTS FOR REPORTABILITY.]; In situ adenocarcinoma, in a polyp, NOS; In situ adenocarcinoma, in adenomatous polyp; In situ adenocarcinoma, in polypoid adenoma; In situ adenocarcinoma, in tubular adenoma; In situ carcinoma, in a polyp, NOS; In situ carcinoma, in adenomatous polyp; Polyp, adenomatous, adenocarcinoma in situ in; Polyp, adenomatous, carcinoma in situ in; Polyp, NOS, adenocarcinoma in situ in; Polyp, NOS, carcinoma in situ in; Polypoid adenoma, adenocarcinoma in situ in; Tubular adenoma, adenocarcinoma in situ in"
8210/3,Adenocarcinoma in adenomatous polyp,"Adenocarcinoma in adenomatous polyp; Adenocarcinoma in a polyp, NOS; Adenocarcinoma in polypoid adenoma; Adenocarcinoma in tubular adenoma; Adenoma, adenocarcinoma in polypoid; Adenoma, polypoid, adenocarcinoma in; Adenoma, tubular, adenocarcinoma in; Adenomatous polyp, adenocarcinoma in; Adenomatous polyp, carcinoma in; Carcinoma in a polyp, NOS; Carcinoma in adenomatous polyp; Polyp, adenomatous, adenocarcinoma in; Polyp, adenomatous, carcinoma in; Polyp, NOS, adenocarcinoma in; Polyp, NOS, carcinoma in; Polypoid adenoma, adenocarcinoma in; Tubular adenoma, adenocarcinoma in"
8211/0,"Tubular adenoma, NOS","Tubular adenoma, NOS; Adenoma, tubular, NOS"
8211/2,"Tubular adenoma, high grade [2022+; NOT REPORTABLE; SEE STANDARD SETTER REQUIREMENTS FOR REPORTABILITY.]","Tubular adenoma, high grade [2022+; NOT REPORTABLE; SEE STANDARD SETTER REQUIREMENTS FOR REPORTABILITY.]; High grade tubular adenoma [2022+; NOT REPORTABLE; SEE STANDARD SETTER REQUIREMENTS FOR REPORTABILITY.]"
8211/3,Tubular adenocarcinoma,"Tubular adenocarcinoma; Adenocarcinoma, tubular; Carcinoma, tubular; Tubular carcinoma"
8212/0,Flat adenoma,"Flat adenoma; Adenoma, flat"
8213/0,Serrated adenoma (C18._),"Serrated adenoma (C18._); Adenoma, serrated (C18._); Adenomatous and hyperplastic polyp, mixed (C18._); Adenomatous polyp, mixed, and hyperplastic (C18._); Hyperplastic and adenomatous polyp, mixed (C18._); Mixed adenomatous and hyperplastic polyp (C18._); Mixed hyperplastic and adenomatous polyp (C18._); Sessile serrated adenoma; Sessile serrated polyp; Traditional serrated adenoma; Traditional sessile serrated adenoma"
8213/2,"Serrated dysplasia, high grade (C16._, C17._) [REPORTABLE 2022+ FOR STOMACH AND SMALL INTESTINE ONLY; SEE STANDARD SETTER REQUIREMENTS FOR REPORTABILITY.]","Serrated dysplasia, high grade (C16._, C17._) [REPORTABLE 2022+ FOR STOMACH AND SMALL INTESTINE ONLY; SEE STANDARD SETTER REQUIREMENTS FOR REPORTABILITY.]; High grade serrated dysplasia (C16._, C17._) [REPORTABLE 2022+ FOR STOMACH AND SMALL INTESTINE ONLY; SEE STANDARD SETTER REQUIREMENTS FOR REPORTABILITY.]"
8213/3,"Serrated adenocarcinoma (C18.0, C18.2, C18.9, C19.9, C20.9) [CODE FOR USE IN 2015+]","Serrated adenocarcinoma (C18.0, C18.2, C18.9, C19.9, C20.9) [CODE FOR USE IN 2015+]; Adenocarcinoma, serrated (C18.0, C18.2, C18.9, C19.9, C20.9) [CODE FOR USE IN 2015+]"
8214/3,Parietal cell carcinoma (C16._),"Parietal cell carcinoma (C16._); Adenocarcinoma, parietal cell (C16._); Carcinoma, parietal cell (C16._); Parietal cell adenocarcinoma (C16._)"
8215/3,Adenocarcinoma of anal glands (C21.1),"Adenocarcinoma of anal glands (C21.1); Adenocarcinoma of anal ducts (C21.1); Adenocarcinoma, anal ducts (C21.1); Adenocarcinoma, anal glands (C21.1); Anal ducts adenocarcinoma (C21.1); Anal glands adenocarcinoma (C21.1)"
8220/0,Adenomatous polyposis coli (C18._),"Adenomatous polyposis coli (C18._); Adenomatosis, NOS; Familial polyposis coli (C18._); Polyposis coli, familial (C18._); Polyposis, adenomatous, coli (C18._)"
8220/3,Adenocarcinoma in adenomatous polyposis coli (C18._),"Adenocarcinoma in adenomatous polyposis coli (C18._); Adenomatous polyposis coli, adenocarcinoma in (C18._); Polyposis, adenomatous, coli, adenocarcinoma in (C18._)"
8221/0,Multiple adenomatous polyps,"Multiple adenomatous polyps; Adenomatous polyps, multiple; Multiple polyps, adenomatous; Polyposis, multiple; Polyps, adenomatous, multiple"
8221/3,Adenocarcinoma in multiple adenomatous polyps,"Adenocarcinoma in multiple adenomatous polyps; Adenomatous polyps, multiple, adenocarcinoma in; Multiple adenomatous polyps, adenocarcinoma in; Multiple polyps, adenomatous, adenocarcinoma in; Polyps, adenomatous, multiple, adenocarcinoma in"
8230/2,"Ductal carcinoma in situ, solid type (C50._)","Ductal carcinoma in situ, solid type (C50._); Carcinoma, ductal in situ, solid type (C50._); Carcinoma, intraductal, solid type; In situ ductal carcinoma, solid type (C50._); Intraductal carcinoma, solid type; Solid type, ductal carcinoma in situ (C50._); Solid type, intraductal carcinoma"
8230/3,"Solid carcinoma, NOS","Solid carcinoma, NOS; Adenocarcinoma, solid, NOS [2021+]; Adenocarcinoma, solid, with mucin formation; Carcinoma, solid, NOS; Carcinoma, solid, with mucin formation; Mucin formation, solid adenocarcinoma with; Mucin formation, solid carcinoma with; Solid adenocarcinoma with mucin formation; Solid adenocarcinoma, NOS [2021+]; Solid carcinoma with mucin formation"
8231/3,Carcinoma simplex,"Carcinoma simplex; Simplex, carcinoma"
8240/1,Carcinoid tumor of uncertain malignant potential,"Carcinoid tumor of uncertain malignant potential; Argentaffin carcinoid tumor, NOS; Argentaffinoma, NOS [obs]; Carcinoid tumor, argentaffin, NOS; Tumor, carcinoid, argentaffin, NOS; Uncertain malignant potential, tumor, carcinoid"
8240/3,"Carcinoid tumor, NOS [including of appendix]","Carcinoid tumor, NOS [including of appendix]; Adenoma, bronchial, carcinoid (C34._); Bronchial adenoma, carcinoid (C34._); Carcinoid tumor, typical; Carcinoid, bronchial adenoma (C34._); Carcinoid, NOS [including of appendix]; Middle ear neuroendocrine tumor [2026+]; Neuroendocrine carcinoma, low grade; Neuroendocrine carcinoma, well-differentiated; Neuroendocrine tumor, grade 1; Tumor, carcinoid, NOS [including of appendix]; Typical carcinoid; Middle ear neuroendocrine tumor"
8241/3,Enterochromaffin cell carcinoid,"Enterochromaffin cell carcinoid; Argentaffin carcinoid tumor, malignant; Argentaffinoma, malignant [obs]; Carcinoid tumor, argentaffin, malignant; Carcinoid, EC cell; Carcinoid, enterochromaffin cell; Carcinoid, serotonin producing; EC cell carcinoid; Serotonin producing carcinoid; Tumor, carcinoid, argentaffin, malignant"
8242/1,"Enterochromaffin-like cell carcinoid, NOS","Enterochromaffin-like cell carcinoid, NOS; Carcinoid, ECL cell, NOS; Carcinoid, enterochromaffin-like cell, NOS; ECL cell carcinoid, NOS"
8242/3,"Enterochromaffin-like cell tumor, malignant","Enterochromaffin-like cell tumor, malignant; Carcinoid, ECL cell, malignant; ECL cell carcinoid, malignant; Tumor, enterochromaffin-like cell, malignant"
8243/3,Goblet cell adenocarcinoma [2022+],"Goblet cell adenocarcinoma [2022+]; Adenocarcinoma, goblet cell [2022+]; Carcinoid, goblet cell; Carcinoid, mucinous; Goblet cell carcinoid; Mucinous carcinoid; Mucocarcinoid tumor; Tumor, mucocarcinoid"
8244/3,Mixed adenoneuroendocrine carcinoma,"Mixed adenoneuroendocrine carcinoma; Adenocarcinoma and carcinoid, combined; Adenocarcinoma, combined carcinoid and adenocarcinoma; Adenocarcinoma, mixed carcinoid-adenocarcinoma; Carcinoid and adenocarcinoma, combined; Carcinoid, adenocarcinoma and, combined; Carcinoid, adenocarcinoma and, mixed; Carcinoid, combined carcinoid and adenocarcinoma; Carcinoid, composite; Carcinoid, mixed carcinoid-adenocarcinoma; Combined adenocarcinoma and carcinoid; Combined carcinoid and adenocarcinoma; Combined/mixed carcinoid and adenocarcinoma; Composite carcinoid; MANEC; Mixed adenocarcinoma and carcinoid; Mixed adenocarcinoma-carcinoid; Mixed carcinoid and adenocarcinoma; Mixed carcinoid-adenocarcinoma"
8245/1,Tubular carcinoid,"Tubular carcinoid; Carcinoid, tubular"
8245/3,Adenocarcinoid tumor,"Adenocarcinoid tumor; Tumor, adenocarcinoid"
8246/3,"Neuroendocrine carcinoma, NOS","Neuroendocrine carcinoma, NOS; Carcinoma, neuroendocrine, NOS; Neoplasm, neuroendocrine, poorly differentiated [2021+]; Neuroendocrine neoplasm, poorly differentiated [2021+]; Neuroendocrine tumor, well differentiated [OF BREAST} (C50._); Poorly differentiated neuroendocrine neoplasm [2021+]; Tumor, neuroendocrine, well differentiated [OF BREAST} (C50._)"
8247/3,Merkel cell carcinoma (C44._),"Merkel cell carcinoma (C44._); Carcinoma, Merkel cell (C44._); Carcinoma, neuroendocrine, primary cutaneous (C44._); Cutaneous neuroendocrine carcinoma, primary (C44._); Merkel cell tumor (C44._); Neuroendocrine carcinoma, primary cutaneous (C44._); Primary cutaneous neuroendocrine carcinoma (C44._); Tumor, Merkel cell (C44._)"
8248/1,Apudoma,Apudoma
8249/3,"Neuroendocrine tumor, grade 2","Neuroendocrine tumor, grade 2; Atypical carcinoid tumor; Carcinoid tumor, atypical; Neuroendocrine carcinoma, moderately differentiated; Neuroendocrine tumor, grade 3 [2021+]; Tumor, atypical carcinoid; Tumor, neuroendocrine, grade 2; Tumor, neuroendocrine, grade 3 [2021+]"
8250/1,Pulmonary adenomatosis (C34._),"Pulmonary adenomatosis (C34._); Adenomatosis, pulmonary (C34._)"
8250/2,"Adenocarcinoma in situ, non-mucinous (C34._)","Adenocarcinoma in situ, non-mucinous (C34._); Non-mucinous adenocarcinoma in situ (C34._)"
8250/3,Lepidic adenocarcinoma (C34._),"Lepidic adenocarcinoma (C34._); Adenocarcinoma, bronchiolar (C34._); Adenocarcinoma, bronchiolo-alveolar, NOS (C34._); Adenocarcinoma, lepidic (C34._); Adenocarcinoma, lepidic predominant (C34._); Alveolar cell carcinoma (C34._); Bronchiolar adenocarcinoma (C34._); Bronchiolar carcinoma (C34._); Bronchiolo-alveolar adenocarcinoma, NOS (C34._); Bronchiolo-alveolar carcinoma, NOS (C34._); Carcinoma, alveolar cell (C34._); Carcinoma, bronchiolar (C34._); Carcinoma, bronchiolo-alveolar, NOS (C34._); Lepidic predominant adenocarcinoma (C34._)"
8251/0,Alveolar adenoma (C34._),"Alveolar adenoma (C34._); Adenoma, alveolar (C34._)"
8251/3,Alveolar adenocarcinoma (C34._),"Alveolar adenocarcinoma (C34._); Adenocarcinoma, alveolar (C34._); Alveolar carcinoma (C34._); Carcinoma, alveolar (C34._)"
8252/3,"Bronchiolo-alveolar carcinoma, non-mucinous (C34._)","Bronchiolo-alveolar carcinoma, non-mucinous (C34._); Bronchiolo-alveolar carcinoma, Clara cell (C34._); Bronchiolo-alveolar carcinoma, type II pneumocyte (C34._); Carcinoma, bronchiolo-alveolar, Clara cell (C34._); Carcinoma, bronchiolo-alveolar, type II pneumocyte (C34._); Carcinoma, bronchiolo-alveolar,  non-mucinous (C34._); Clara cell bronchiolo-alveolar carcinoma (C34._); Non-mucinous bronchiolo-alveolar carcinoma (C34._); Pneumocyte, type II, bronchiolo-alveolar carcinoma (C34._)"
8253/2,"Adenocarcinoma in situ, mucinous (C34._) [LUNG ONLY, 2018+, DO NOT USE 8480]","Adenocarcinoma in situ, mucinous (C34._) [LUNG ONLY, 2018+, DO NOT USE 8480]; Mucinous adenocarcinoma in situ (C34._) [LUNG ONLY, 2018+, DO NOT USE 8480]"
8253/3,"Invasive mucinous adenocarcinoma (C34._) [LUNG ONLY, 2018+, DO NOT USE 8480]","Invasive mucinous adenocarcinoma (C34._) [LUNG ONLY, 2018+, DO NOT USE 8480]; Adenocarcinoma, invasive mucinous (C34._) [LUNG ONLY, 2018+, DO NOT USE 8480]; Bronchiolo-alveolar carcinoma, goblet cell type (C34._); Bronchiolo-alveolar carcinoma, mucinous (C34._); Carcinoma, bronchiolo-alveolar, goblet cell type (C34._); Carcinoma, bronchiolo-alveolar, mucinous (C34._); Goblet cell type, bronchiolo-alveolar carcinoma (C34._); Mucinous bronchiolo-alveolar carcinoma (C34._)"
8254/3,Mixed invasive mucinous and non-mucinous adenocarcinoma (C34._),"Mixed invasive mucinous and non-mucinous adenocarcinoma (C34._); Adenocarcinoma, mixed invasive mucinous and non-mucinous (C34._); Bronchiolo-alveolar carcinoma, Clara cell and goblet cell type (C34._); Bronchiolo-alveolar carcinoma, indeterminate type (C34._); Bronchiolo-alveolar carcinoma, mixed mucinous and non-mucinous (C34._); Bronchiolo-alveolar carcinoma, type II pneumocyte and goblet cell type (C34._); Carcinoma, bronchiolo-alveolar, Clara cell and goblet cell type (C34._); Carcinoma, bronchiolo-alveolar, indeterminate type (C34._); Carcinoma, bronchiolo-alveolar, mixed mucinous and non-mucinous (C34._); Carcinoma, bronchiolo-alveolar, type II pneumocyte and goblet cell (C34._); Clara cell and goblet cell type bronchiolo-alveolar carcinoma (C34._); Goblet cell type, bronchiolo-alveolar carcinoma, Clara cell and (C34._); Goblet cell type, bronchiolo-alveolar carcinoma, type II pneumocyte and (C34._); Indeterminate type bronchiolo-alveolar carcinoma (C34._); Mixed mucinous and non-mucinous bronchiolo-alveolar carcinoma (C34._); Mixed non-mucinous and mucinous bronchiolo-alveolar carcinoma (C34._); Mucinous and non-mucinous adenocarcinoma, mixed (C34._); Mucinous bronchiolo-alveolar carcinoma, non-mucinous and, mixed (C34._); Non-mucinous and mucinous bronchiolo-alveolar carcinoma, mixed (C34._); Pneumocyte, type II and goblet cell type bronchiolo-alveolar carcinoma (C34._)"
8255/3,Adenocarcinoma with mixed subtypes,"Adenocarcinoma with mixed subtypes; Adenocarcinoma combined with other types of carcinoma; Adenocarcinoma with other types of carcinoma, combined; Adenocarcinoma, pancreatobiliary-type (C24.1)  [2015-2017. FOR 2018+ USE 8163/3]; Carcinoma, combined adenocarcinoma with other types of carcinoma; Pancreatobiliary-type carcinoma (C24.1) [2015-2017. FOR 2018+ USE 8163/3]"
8256/3,"Minimally invasive adenocarcinoma, non-mucinous (C34._) [2018+]","Minimally invasive adenocarcinoma, non-mucinous (C34._) [2018+]; Adenocarcinoma, minimally invasive, non-mucinous (C34._) [2018+]; Non-mucinous adenocarcinoma, minimally invasive (C34._) [2018+]"
8257/3,"Minimally invasive adenocarcinoma, mucinous (C34._) [2018+]","Minimally invasive adenocarcinoma, mucinous (C34._) [2018+]; Adenocarcinoma, minimally invasive, mucinous (C34._) [2018+]; Mucinous adenocarcinoma, minimally invasive (C34._) [2018+]"
8260/0,"Papillary adenoma, NOS","Papillary adenoma, NOS; Adenoma, papillary, NOS; Adenoma, tubulopapillary [2024+; NOT REPORTABLE; SEE STANDARD SETTER REQUIREMENTS FOR REPORTABILITY.]; Glandular papilloma; Papilloma, glandular; Tubulopapillary adenoma [2024+; NOT REPORTABLE; SEE STANDARD SETTER REQUIREMENTS FOR REPORTABILITY.]"
8260/3,"Papillary adenocarcinoma, NOS","Papillary adenocarcinoma, NOS; Adenocarcinoma, papillary, low-grade [2023+]; Adenocarcinoma, papillary, NOS; Carcinoma, papillary renal cell (C64.9); Carcinoma, papillary, thyroid (C73.9); Carcinoma, renal cell, papillary (C64.9); Low-grade papillary adenocarcinoma [2023+]; Papillary adenocarcinoma, low-grade [2023+]; Papillary carcinoma of thyroid (C73.9); Papillary carcinoma, thyroid (C73.9); Papillary renal cell carcinoma (C64.9)"
8261/0,"Villous adenoma, NOS","Villous adenoma, NOS; Adenoma, villous, NOS; Papilloma, villous; Villous papilloma"
8261/2,Adenocarcinoma in situ in villous adenoma,"Adenocarcinoma in situ in villous adenoma; Adenoma, villous, adenocarcinoma in situ in; High grade villous adenoma [2022+; NOT REPORTABLE; SEE STANDARD SETTER REQUIREMENTS FOR REPORTABILITY.]; In situ adenocarcinoma, in villous adenoma; Villous adenoma, adenocarcinoma in situ in; Villous adenoma, high grade [2022+; NOT REPORTABLE; SEE STANDARD SETTER REQUIREMENTS FOR REPORTABILITY.]"
8261/3,Adenocarcinoma in villous adenoma,"Adenocarcinoma in villous adenoma; Adenoma, villous, adenocarcinoma in; Villous adenoma, adenocarcinoma in"
8262/3,Villous adenocarcinoma,"Villous adenocarcinoma; Adenocarcinoma, adenoma-like [2022+]; Adenocarcinoma, villous; Adenoma-like adenocarcinoma [2022+]"
8263/0,"Tubulovillous adenoma, NOS","Tubulovillous adenoma, NOS; Adenoma, papillotubular; Adenoma, tubulovillous, NOS; Adenoma, villoglandular; Papillotubular adenoma; Tubulo-papillary adenoma; Villoglandular adenoma"
8263/2,Adenocarcinoma in situ in tubulovillous adenoma,"Adenocarcinoma in situ in tubulovillous adenoma; Adenoma, tubulovillous, adenocarcinoma in situ in; High grade tubulovillous adenoma [2022+; NOT REPORTABLE; SEE STANDARD SETTER REQUIREMENTS FOR REPORTABILITY.]; In situ adenocarcinoma, in tubulovillous adenoma; Tubulovillous adenoma, adenocarcinoma in situ in; Tubulovillous adenoma, high grade [2022+; NOT REPORTABLE; SEE STANDARD SETTER REQUIREMENTS FOR REPORTABILITY.]"
8263/3,Adenocarcinoma in tubulovillous adenoma,"Adenocarcinoma in tubulovillous adenoma; Adenocarcinoma, papillotubular; Adenocarcinoma, tubulopapillary; Adenocarcinoma, villoglandular endometrioid (C54._, C55.9); Adenoma, tubulovillous, adenocarcinoma in; Carcinoma, villoglandular (C53._); Endometrioid adenocarcinoma, villoglandular (C54._, C55.9); Papillotubular adenocarcinoma; Tubulopapillary adenocarcinoma; Tubulovillous adenoma, adenocarcinoma in; Villoglandular adenocarcinoma, endometrioid (C54._, C55.9); Villoglandular carcinoma (C53._)"
8264/0,"Papillomatosis, glandular","Papillomatosis, glandular; Biliary papillomatosis (C22.1, C24.0); Glandular papillomatosis; Papillomatosis, biliary (C22.1, C24.0)"
8265/3,"Micropapillary carcinoma, NOS (C18._, C19.9, C20.9, C34._) [2018+ ONLY. FOR PRE-2018, USE 8507/3. FOR BREAST ALL YEARS, USE 8507/3.]","Micropapillary carcinoma, NOS (C18._, C19.9, C20.9, C34._) [2018+ ONLY. FOR PRE-2018, USE 8507/3. FOR BREAST ALL YEARS, USE 8507/3.]; Adenocarcinoma, micropapillary (C34._) [2018+ ONLY. FOR PRE-2018, USE 8507/3. FOR BREAST ALL YEARS, USE 8507/3.]; Carcinoma, micropapillary, NOS (C18._, C19.9, C20.9, C34._) [2018+ ONLY. FOR PRE-2018, USE 8507/3. FOR BREAST ALL YEARS, USE 8507/3.]; Micropapillary adenocarcinoma (C34._) [2018+ ONLY. FOR PRE-2018, USE 8507/3. FOR BREAST ALL YEARS, USE 8507/3.]; Micropapillary salivary duct carcinoma [2026+]; Micropapillary salivary duct carcinoma"
8270/0,Chromophobe adenoma (C75.1),"Chromophobe adenoma (C75.1); Adenoma, chromophobe (C75.1)"
8270/3,Chromophobe carcinoma (C75.1),"Chromophobe carcinoma (C75.1); Adenocarcinoma, chromophobe (C75.1); Carcinoma, chromophobe (C75.1); Chromophobe adenocarcinoma (C75.1)"
8271/0,Prolactinoma (C75.1),Prolactinoma (C75.1)
8272/0,"Pituitary adenoma, NOS (C75.1)","Pituitary adenoma, NOS (C75.1); Adenoma, pituitary, NOS (C75.1)"
8272/3,"Pituitary carcinoma, NOS (C75.1)","Pituitary carcinoma, NOS (C75.1); Adenoma, pituitary/pituitary neuroendocrine tumor (PitNET) (C75.1) [2023+]; Carcinoma, pituitary, NOS (C75.1); Pituitary adenoma/pituitary neuroendocrine tumor (PitNET) (C75.1) [2023+]; Pituitary neuroendocrine tumor/pituitary adenoma (PitNET) (C75.1) [2023+]; Tumor, pituitary neuroendocrine/pituitary adenoma (PitNET) (C75.1) [2023+]"
8273/3,Pituitary blastoma (C75.1) [REPORTABLE 2021+],"Pituitary blastoma (C75.1) [REPORTABLE 2021+]; Blastoma, pituitary (C75.1) [REPORTABLE 2021+]; Embryoma [REPORTABLE 2021+]"
8280/0,Acidophil adenoma (C75.1),"Acidophil adenoma (C75.1); Adenoma, acidophil (C75.1); Adenoma, eosinophil (C75.1); Eosinophil adenoma (C75.1)"
8280/3,Acidophil carcinoma (C75.1),"Acidophil carcinoma (C75.1); Acidophil adenocarcinoma (C75.1); Adenocarcinoma, acidophil (C75.1); Adenocarcinoma, eosinophil (C75.1); Carcinoma, acidophil (C75.1); Carcinoma, eosinophil (C75.1); Eosinophil adenocarcinoma (C75.1); Eosinophil carcinoma (C75.1)"
8281/0,Mixed acidophil-basophil adenoma (C75.1),"Mixed acidophil-basophil adenoma (C75.1); Acidophil-basophil adenoma, mixed (C75.1); Adenoma, acidophil-basophil, mixed (C75.1); Adenoma, basophil-acidophil, mixed (C75.1); Adenoma, mixed acidophil-basophil (C75.1); Basophil acidophil adenoma, mixed (C75.1); Basophil-acidophil adenoma, mixed (C75.1); Mixed basophil-acidophil adenoma (C75.1)"
8281/3,Mixed acidophil-basophil carcinoma (C75.1),"Mixed acidophil-basophil carcinoma (C75.1); Acidophil-basophil carcinoma, mixed (C75.1); Basophil acidophil carcinoma, mixed (C75.1); Basophil-acidophil carcinoma, mixed (C75.1); Carcinoma, acidophil-basophil, mixed (C75.1); Carcinoma, basophil-acidophil, mixed (C75.1); Mixed basophil-acidophil carcinoma (C75.1)"
8290/0,Oxyphilic adenoma,"Oxyphilic adenoma; Adenoma, follicular, oxyphilic cell (C73.9); Adenoma, Hurthle cell (C73.9); Adenoma, oncocytic; Adenoma, oxyphilic; Adenoma, oxyphilic cell follicular (C73.9); Follicular adenoma, oxyphilic cell (C73.9); Hurthle cell adenoma (C73.9); Hurthle cell tumor (C73.9); Oncocytic adenoma; Oncocytoma; Oxyphilic cell follicular adenoma (C73.9); Spindle cell oncocytoma (C75.1); Tumor, Hurthle cell (C73.9)"
8290/3,Oxyphilic adenocarcinoma,"Oxyphilic adenocarcinoma; Adenocarcinoma, Hurthle cell (C73.9); Adenocarcinoma, oncocytic; Adenocarcinoma, oxyphilic; Carcinoma, follicular, oxyphilic cell (C73.9); Carcinoma, Hurthle cell (C73.9); Carcinoma, oncocytic; Follicular carcinoma, oxyphilic cell (C73.9); Hurthle cell adenocarcinoma (C73.9); Hurthle cell carcinoma (C73.9); Oncocytic adenocarcinoma; Oncocytic carcinoma; Oncocytic salivary duct carcinoma [2026+]; Oxyphilic cell follicular carcinoma (C73.9); Oncocytic salivary duct carcinoma"
8300/0,Basophil adenoma (C75.1),"Basophil adenoma (C75.1); Adenoma, basophil (C75.1); Adenoma, mucoid cell (C75.1); Mucoid cell adenoma (C75.1)"
8300/3,Basophil carcinoma (C75.1),"Basophil carcinoma (C75.1); Adenocarcinoma, basophil (C75.1); Adenocarcinoma, mucoid cell (C75.1); Basophil adenocarcinoma (C75.1); Carcinoma, basophil (C75.1); Mucoid cell adenocarcinoma (C75.1)"
8310/0,Clear cell adenoma,"Clear cell adenoma; Adenoma, clear cell"
